country,commun,surveypl,surveyyr,hhnum,weight,members,workers,nonwork,lifecycl,hsex,hage,heduc,hparent,hempl,hocc,hby,spsex,speduc,spparent,spempl,spocc,unitype1,unibeg1,sons,daus,proptyp1,propmat1,propflr1,proprms1,propdol1,propten1,water,electric,sewer,stove,refrig,washing,sewing,radio,tv,stereo,phone
1,87,1,1/1/2001,152,9.2,7,1,6,3,1,47,6,1,3,549,4,2,6,1,1,20,4,1/1/1981,3,2,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,2,1
1,87,1,1/1/2001,153,9.2,13,7,9,5,1,90,0,1,1,52,4,2,0,1,1,20,4,1/1/1939,1,2,1,3,3,6,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,154,9.2,6,4,4,4,1,39,2,1,3,520,3,2,3,1,1,20,4,1/1/1980,2,1,1,3,3,5,2,3,1,1,1,1,1,1,2,1,1,1,2
1,87,1,1/1/2001,155,9.2,5,1,4,3,1,39,6,1,3,552,3,2,6,1,1,20,4,1/1/1980,2,1,1,3,3,4,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,156,9.2,7,3,4,5,1,62,3,1,1,52,4,2,2,1,1,20,4,1/1/1962,0,2,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,157,9.2,2,1,1,5,1,65,9,1,3,710,5,2,6,1,1,20,4,1/1/1957,0,0,1,3,3,5,2,4,1,1,1,1,1,1,1,1,1,1,2
1,87,1,1/1/2001,158,9.2,3,3,1,5,1,90,2,1,2,10,4,8888,8888,8888,8888,8888,1,1/1/1930,1,0,1,3,3,10,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,159,9.2,9,2,7,5,1,67,3,1,1,52,5,2,2,1,1,20,4,1/1/1959,2,0,1,3,3,8,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,160,9.2,2,1,1,1,1,49,6,2,3,549,3,8888,8888,8888,8888,8888,8888,1/1/8888,0,0,1,3,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,161,9.2,1,0,1,3,2,58,1,1,1,20,4,8888,8888,8888,8888,8888,4,1/1/1957,0,0,1,2,2,4,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,162,9.2,4,1,3,2,1,26,5,1,3,542,3,2,6,1,1,20,4,1/1/1997,0,2,1,3,3,2,8888,1,1,1,1,1,1,1,2,1,1,2,1
1,87,1,1/1/2001,163,9.2,5,4,3,3,1,57,1,1,3,526,3,2,2,1,1,20,4,1/1/1977,1,2,1,3,2,2,2,3,1,1,1,1,2,2,1,1,1,1,2
1,87,1,1/1/2001,164,9.2,4,1,3,2,1,32,9,1,3,552,3,2,12,1,1,20,4,1/1/1994,1,1,1,3,2,6,2,3,1,1,1,1,1,1,1,1,1,2,2
1,87,1,1/1/2001,165,9.2,4,1,3,5,2,45,3,1,3,810,3,8888,8888,8888,8888,8888,4,1/1/1976,0,1,1,3,3,4,2,3,1,1,1,1,1,2,2,1,1,1,2
1,87,1,1/1/2001,166,9.2,3,1,2,5,1,81,1,1,1,52,3,2,0,1,1,20,1,1/1/1948,1,1,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,2,2
1,87,1,1/1/2001,167,9.2,3,0,3,5,1,82,2,1,1,52,4,2,0,1,1,20,4,1/1/1938,0,0,1,3,3,7,2,3,1,1,1,1,1,1,1,2,1,2,1
1,87,1,1/1/2001,168,9.2,4,1,3,5,2,63,0,1,1,20,5,8888,8888,8888,8888,8888,4,1/1/1958,1,1,1,3,3,7,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,169,9.2,9,3,6,3,1,65,0,1,1,52,3,8888,8888,8888,8888,8888,4,1/1/1967,5,3,1,3,3,7,2,3,1,1,1,1,1,1,1,1,1,2,1
1,87,1,1/1/2001,170,9.2,2,1,2,1,1,39,9,2,2,10,5,8888,8888,8888,8888,8888,8888,1/1/8888,0,0,1,3,2,2,8888,1,1,1,1,1,1,1,2,1,1,2,2
